customer_id,order_id,order_date,product_id,product_category,quantity,unit_price,total_amount
299,ORD_299_333049,2024-08-21,PROD_BOO_46,Books,1,22.89,22.89
485,ORD_485_248097,2024-08-21,PROD_HOM_54,Home & Garden,1,158.04,158.04
526,ORD_526_769836,2024-08-21,PROD_CLO_35,Clothing,1,14.16,14.16
475,ORD_475_520075,2024-08-22,PROD_HOM_8,Home & Garden,2,185.59,371.17
302,ORD_302_493417,2024-08-23,PROD_BEA_69,Beauty,1,45.65,45.65
302,ORD_302_493417,2024-08-23,PROD_BOO_33,Books,1,12.4,12.4
383,ORD_383_122390,2024-08-23,PROD_SPO_46,Sports,1,56.92,56.92
383,ORD_383_122390,2024-08-23,PROD_BOO_49,Books,1,12.14,12.14
293,ORD_293_638214,2024-08-23,PROD_CLO_3,Clothing,1,57.51,57.51
305,ORD_305_835962,2024-08-24,PROD_BEA_20,Beauty,1,46.13,46.13
232,ORD_232_205345,2024-08-25,PROD_HOM_18,Home & Garden,1,33.53,33.53
700,ORD_700_354125,2024-08-25,PROD_BOO_62,Books,1,15.87,15.87
655,ORD_655_146037,2024-08-26,PROD_HOM_4,Home & Garden,2,153.69,307.38
787,ORD_787_668716,2024-08-26,PROD_SPO_11,Sports,1,127.3,127.3
787,ORD_787_668716,2024-08-26,PROD_SPO_44,Sports,1,99.11,99.11
275,ORD_275_780714,2024-08-26,PROD_SPO_41,Sports,1,25.15,25.15
451,ORD_451_207932,2024-08-28,PROD_CLO_52,Clothing,1,71.15,71.15
734,ORD_734_360400,2024-08-28,PROD_BOO_39,Books,1,9.63,9.63
631,ORD_631_527288,2024-08-29,PROD_SPO_30,Sports,1,80.89,80.89
760,ORD_760_639302,2024-08-29,PROD_ELE_20,Electronics,1,254.72,254.72
184,ORD_184_578160,2024-08-29,PROD_BEA_48,Beauty,1,18.12,18.12
261,ORD_261_393366,2024-08-29,PROD_BOO_50,Books,1,20.78,20.78
482,ORD_482_578344,2024-08-29,PROD_BOO_22,Books,1,18.39,18.39
346,ORD_346_327114,2024-08-30,PROD_BOO_58,Books,2,18.79,37.58
346,ORD_346_327114,2024-08-30,PROD_CLO_61,Clothing,1,65.95,65.95
561,ORD_561_794255,2024-08-30,PROD_ELE_64,Electronics,1,341.25,341.25
800,ORD_800_251695,2024-08-30,PROD_BEA_12,Beauty,1,99.26,99.26
537,ORD_537_532007,2024-08-30,PROD_SPO_44,Sports,1,105.59,105.59
561,ORD_561_794255,2024-08-30,PROD_HOM_63,Home & Garden,1,105.38,105.38
491,ORD_491_145421,2024-08-30,PROD_BOO_14,Books,1,15.7,15.7
787,ORD_787_312149,2024-08-31,PROD_BEA_62,Beauty,1,48.34,48.34
519,ORD_519_636648,2024-08-31,PROD_CLO_51,Clothing,1,57.12,57.12
406,ORD_406_139569,2024-08-31,PROD_BEA_59,Beauty,2,51.58,103.17
519,ORD_519_636648,2024-08-31,PROD_CLO_25,Clothing,1,65.06,65.06
787,ORD_787_312149,2024-08-31,PROD_HOM_18,Home & Garden,1,10.35,10.35
49,ORD_49_207570,2024-09-01,PROD_BOO_2,Books,1,17.13,17.13
258,ORD_258_164664,2024-09-01,PROD_CLO_29,Clothing,1,61.17,61.17
394,ORD_394_608947,2024-09-01,PROD_BOO_25,Books,2,31.18,62.35
394,ORD_394_608947,2024-09-01,PROD_BOO_13,Books,1,11.61,11.61
505,ORD_505_219073,2024-09-02,PROD_CLO_62,Clothing,1,119.18,119.18
346,ORD_346_605065,2024-09-02,PROD_SPO_22,Sports,1,57.91,57.91
346,ORD_346_605065,2024-09-02,PROD_HOM_29,Home & Garden,1,113.26,113.26
568,ORD_568_861911,2024-09-02,PROD_CLO_8,Clothing,1,5.0,5.0
94,ORD_94_652530,2024-09-02,PROD_CLO_40,Clothing,1,81.18,81.18
439,ORD_439_974329,2024-09-02,PROD_HOM_44,Home & Garden,1,30.02,30.02
560,ORD_560_904857,2024-09-03,PROD_CLO_64,Clothing,1,89.77,89.77
87,ORD_87_467121,2024-09-04,PROD_BEA_72,Beauty,1,25.6,25.6
87,ORD_87_467121,2024-09-04,PROD_SPO_48,Sports,1,81.23,81.23
323,ORD_323_799565,2024-09-04,PROD_SPO_54,Sports,2,110.97,221.94
560,ORD_560_260155,2024-09-05,PROD_SPO_39,Sports,1,124.18,124.18
341,ORD_341_693868,2024-09-05,PROD_CLO_73,Clothing,2,78.56,157.12
317,ORD_317_100177,2024-09-06,PROD_CLO_12,Clothing,1,36.13,36.13
317,ORD_317_100177,2024-09-06,PROD_CLO_39,Clothing,1,28.76,28.76
712,ORD_712_268018,2024-09-06,PROD_BEA_42,Beauty,1,57.31,57.31
446,ORD_446_390088,2024-09-06,PROD_CLO_69,Clothing,1,46.03,46.03
712,ORD_712_268018,2024-09-06,PROD_HOM_50,Home & Garden,1,87.65,87.65
221,ORD_221_274044,2024-09-06,PROD_BEA_18,Beauty,2,44.6,89.21
46,ORD_46_446859,2024-09-07,PROD_HOM_46,Home & Garden,1,71.44,71.44
734,ORD_734_790130,2024-09-07,PROD_CLO_1,Clothing,1,80.66,80.66
82,ORD_82_926952,2024-09-07,PROD_CLO_1,Clothing,1,46.09,46.09
724,ORD_724_944178,2024-09-08,PROD_ELE_7,Electronics,1,408.16,408.16
544,ORD_544_721990,2024-09-08,PROD_BEA_8,Beauty,2,40.52,81.04
120,ORD_120_870899,2024-09-08,PROD_HOM_43,Home & Garden,1,73.06,73.06
356,ORD_356_771394,2024-09-08,PROD_SPO_64,Sports,1,27.42,27.42
464,ORD_464_861265,2024-09-09,PROD_HOM_27,Home & Garden,1,87.96,87.96
568,ORD_568_254920,2024-09-09,PROD_HOM_31,Home & Garden,1,60.09,60.09
789,ORD_789_158589,2024-09-09,PROD_BOO_70,Books,1,19.63,19.63
464,ORD_464_861265,2024-09-09,PROD_CLO_22,Clothing,1,92.81,92.81
122,ORD_122_454992,2024-09-10,PROD_SPO_23,Sports,1,175.04,175.04
720,ORD_720_664441,2024-09-10,PROD_CLO_59,Clothing,1,62.72,62.72
720,ORD_720_664441,2024-09-10,PROD_CLO_41,Clothing,1,65.78,65.78
208,ORD_208_295440,2024-09-11,PROD_BOO_56,Books,1,21.33,21.33
341,ORD_341_329448,2024-09-11,PROD_CLO_63,Clothing,1,38.19,38.19
764,ORD_764_403527,2024-09-11,PROD_CLO_37,Clothing,1,13.76,13.76
764,ORD_764_897861,2024-09-12,PROD_ELE_55,Electronics,1,539.64,539.64
526,ORD_526_534649,2024-09-12,PROD_CLO_23,Clothing,1,68.15,68.15
452,ORD_452_658624,2024-09-12,PROD_CLO_52,Clothing,1,85.05,85.05
452,ORD_452_658624,2024-09-12,PROD_BEA_60,Beauty,1,50.01,50.01
458,ORD_458_243885,2024-09-13,PROD_CLO_59,Clothing,1,76.01,76.01
458,ORD_458_243885,2024-09-13,PROD_BEA_54,Beauty,1,64.72,64.72
93,ORD_93_534303,2024-09-13,PROD_BEA_35,Beauty,1,5.0,5.0
663,ORD_663_329212,2024-09-13,PROD_BOO_40,Books,1,48.61,48.61
77,ORD_77_779112,2024-09-13,PROD_BEA_9,Beauty,2,17.03,34.06
628,ORD_628_521315,2024-09-14,PROD_HOM_6,Home & Garden,1,80.8,80.8
625,ORD_625_514603,2024-09-14,PROD_HOM_44,Home & Garden,1,119.93,119.93
